City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,afaahiti,-17.75,-149.2833,23.93,89,28,8.46,PF,1696249265
181,espanola,35.9911,-106.0806,18.31,72,40,2.8,US,1696249265
182,nyurba,63.2842,118.3319,2.24,94,100,4.92,RU,1696249249
183,palmer,42.1584,-72.3287,17.88,84,20,0.0,US,1696249266
184,sao vicente,-23.9631,-46.3919,23.1,62,100,1.03,BR,1696249266
185,aksu,41.1231,80.2644,22.83,21,84,2.98,CN,1696249267
186,qaqortoq,60.7167,-46.0333,4.02,60,100,2.16,GL,1696249267
187,kourou,5.1552,-52.6478,29.03,67,76,4.86,GF,1696249267
188,kisangani,0.5167,25.2,36.61,35,39,0.55,CD,1696249229
189,hastings,50.8552,0.5729,21.86,84,100,3.07,GB,1696249268
190,zhangye,38.9342,100.4517,17.5,32,5,2.64,CN,1696249268
191,poronaysk,49.2167,143.1167,11.27,91,95,3.24,RU,1696249269
192,mugia,43.1041,-9.2179,23.42,87,88,7.23,ES,1696249269
193,west island,-12.1568,96.8225,25.99,73,40,9.26,CC,1696249270
194,san jose village,-12.1568,96.8225,25.99,73,40,9.26,CC,1696249270
195,palikir - national government center,6.9248,158.1611,25.41,94,40,1.54,FM,1696249270
196,la ferte-mace,48.59,-0.358,25.52,48,100,4.0,FR,1696249271
197,mesoraca,39.0768,16.7889,24.29,61,1,4.0,IT,1696249271
198,horta,38.5333,-28.6333,21.8,64,20,5.36,PT,1696249271
199,vadso,70.0744,29.7487,4.49,75,75,8.23,NO,1696249272
200,viedma,-40.8135,-62.9967,17.16,40,100,7.79,AR,1696249272
201,namibe,-15.1961,12.1522,24.46,60,6,5.82,AO,1696249272
202,miri,4.4148,114.0089,29.08,79,20,2.06,MY,1696249273
203,talcahuano,-36.7167,-73.1167,9.82,76,0,1.54,CL,1696249273
204,masuguru,-11.3667,38.4167,37.6,17,7,2.79,TZ,1696249273
205,sabinopolis,-18.6661,-43.0839,23.22,79,100,1.84,BR,1696249274
206,rikaze,29.25,88.8833,18.23,33,85,3.25,CN,1696249274
207,puerto princesa,9.7392,118.7353,26.99,94,75,3.09,PH,1696249275
208,hulan ergi,47.2042,123.6333,13.62,48,76,3.35,CN,1696249275
209,niafunke,15.9322,-3.9906,37.67,25,67,4.91,ML,1696249275
210,lamar,33.6668,-95.5836,18.95,90,0,3.09,US,1696249276
211,araci,-11.3333,-38.9667,27.61,55,54,3.33,BR,1696249276
212,kitimat,54.0524,-128.6534,9.82,63,100,1.53,CA,1696249276
213,hagi,34.4,131.4167,17.56,66,52,3.8,JP,1696249277
214,sunne,59.8376,13.143,17.18,65,99,4.03,SE,1696249277
215,biltine,14.5333,20.9167,36.27,21,89,1.16,TD,1696249278
216,island harbour,50.724,-1.2758,18.91,93,100,2.24,GB,1696249278
217,la passe,45.5549,-0.8967,29.13,39,65,5.4,FR,1696249278
218,ketchikan,55.3422,-131.6461,11.26,87,100,2.06,US,1696249279
219,devinuwara,55.3422,-131.6461,11.26,87,100,2.06,US,1696249279
220,enewetak,11.3474,162.3373,28.93,79,95,7.08,MH,1696249279
221,watsa,3.0372,29.5355,31.26,42,51,2.32,CD,1696249280
222,paita,-5.0892,-81.1144,18.87,86,40,5.59,PE,1696249280
223,xuddur,4.1213,43.8894,31.99,38,53,4.53,SO,1696249280
224,zhangjiakou,40.81,114.8794,15.83,41,74,2.25,CN,1696249209
225,mount gambier,-37.8333,140.7667,15.05,53,0,3.55,AU,1696249281
226,ahau,-37.8333,140.7667,15.05,53,0,3.55,AU,1696249281
227,urangan,-25.3,152.9,20.72,76,0,4.37,AU,1696249282
228,okhotsk,59.3833,143.3,6.18,77,77,1.71,RU,1696249282
229,takayama,36.1333,137.25,9.6,91,28,1.91,JP,1696249282
230,zuunmod,47.7069,106.9528,3.57,89,94,3.34,MN,1696249283
231,udachny,66.4167,112.4,-5.28,89,66,3.31,RU,1696249283
232,prince george,53.9166,-122.753,8.12,99,75,2.06,CA,1696249044
233,puerto san carlos,53.9166,-122.753,8.12,99,75,2.06,CA,1696249044
234,fort bragg,35.139,-79.006,18.23,90,0,1.34,US,1696249284
235,alice springs,-23.7,133.8833,30.75,16,77,4.12,AU,1696249226
236,aykhal,66.0,111.5,-7.74,91,82,3.13,RU,1696249285
237,celestun,20.8667,-90.4,25.66,89,62,3.57,MX,1696249285
238,akureyri,65.6835,-18.0878,5.96,81,100,3.6,IS,1696249286
239,tobelo,1.7284,128.0095,27.53,81,74,0.82,ID,1696249286
240,zerbst,51.9667,12.0833,26.82,62,80,3.29,DE,1696249286
241,bac lieu,9.285,105.7244,24.1,96,100,5.35,VN,1696249156
242,sisimiut,66.9395,-53.6735,1.95,59,100,2.7,GL,1696249287
243,quang ngai,15.1167,108.8,26.54,85,88,1.3,VN,1696249287
244,pacific grove,36.6177,-121.9166,12.59,91,20,0.45,US,1696249208
245,funafuti,-8.5243,179.1942,28.0,94,40,5.14,TV,1696249288
246,brasilia,-15.7797,-47.9297,21.51,78,75,2.57,BR,1696249179
247,saint-philippe,-21.3585,55.7679,26.77,79,33,1.82,RE,1696249289
248,guarapari,-20.6667,-40.4975,25.5,78,100,0.39,BR,1696249289
249,bardai,11.65,7.2333,26.16,72,95,3.39,NG,1696249289
250,ta`u,-14.2336,-169.5144,26.6,81,100,11.57,AS,1696249290
251,vandergrift,40.6028,-79.5648,15.74,70,20,0.92,US,1696249290
252,chita,52.0333,113.55,2.94,51,76,3.0,RU,1696249291
253,samokov,42.3333,23.55,19.14,38,15,3.25,BG,1696249291
254,champerico,14.3,-91.9167,24.3,88,95,4.2,GT,1696249291
255,san francisco de la paz,14.9,-86.2,23.84,97,39,0.44,HN,1696249292
256,atafu village,-8.5421,-172.5159,28.19,74,49,2.88,TK,1696249292
257,vilyuysk,63.7553,121.6247,3.89,86,100,5.36,RU,1696249292
258,belmonte,-15.8631,-38.8828,26.72,72,53,4.72,BR,1696249293
259,taro,-8.3862,115.28,22.0,97,94,0.8,ID,1696249293
260,myskhako,44.6714,37.7433,24.9,40,15,6.39,RU,1696249293
261,dumka,24.2667,87.25,26.47,90,78,3.32,IN,1696249294
262,zaltan,32.947,11.8665,26.49,52,0,5.09,LY,1696249294
263,tipp city,39.9584,-84.1722,16.5,93,0,1.34,US,1696249294
264,port alfred,-33.5906,26.891,22.32,71,0,3.13,ZA,1696249295
265,koh kong,11.6175,102.9806,26.81,87,81,3.23,KH,1696249295
266,satipo,-11.2522,-74.6386,23.81,83,83,0.31,PE,1696249295
267,kanniyakumari,8.0833,77.5667,27.0,83,30,7.71,IN,1696249296
268,portland,45.5234,-122.6762,12.7,87,100,1.54,US,1696249241
269,talata mafara,12.5732,6.0597,29.42,62,100,3.55,NG,1696249297
270,boditi,6.9667,37.8667,22.67,54,39,0.81,ET,1696249297
271,mejit,10.2753,170.8646,28.57,79,94,5.95,MH,1696249297
272,inirida,3.8653,-67.9239,25.88,86,100,0.44,CO,1696249298
273,noumea,-22.2763,166.4572,19.99,79,21,4.99,NC,1696249298
274,carnarvon,-24.8667,113.6333,19.06,63,13,9.98,AU,1696249299
275,hithadhoo,-0.6,73.0833,28.21,73,22,5.85,MV,1696249299
276,lincoln,40.8,-96.667,21.18,68,0,3.6,US,1696249299
277,hammerfest,70.6634,23.6821,2.25,93,75,0.0,NO,1696249300
278,sinan,34.8262,126.1086,19.06,53,85,5.37,KR,1696249037
279,novodvinsk,64.4165,40.8122,9.32,95,82,3.59,RU,1696249158
280,road town,18.4167,-64.6167,30.02,74,40,4.63,VG,1696249028
281,bainbridge,47.6262,-122.5212,12.86,87,100,2.06,US,1696249301
282,avarua,-21.2078,-159.775,21.03,88,75,6.17,CK,1696249301
283,we,-21.2078,-159.775,21.03,88,75,6.17,CK,1696249301
284,northam,51.0333,-4.2167,16.81,97,100,2.51,GB,1696249302
285,nishinoomote,30.7333,131.0,25.03,55,23,8.95,JP,1696249302
286,tommot,58.9564,126.2925,4.99,72,99,0.45,RU,1696249303
287,port isabel,26.0734,-97.2086,28.9,85,0,1.54,US,1696249303
288,raduzhny,62.0961,77.475,10.32,81,77,5.27,RU,1696249303
